Description,Country,total_orders,total_quantity,total_revenue
"WHITE HANGING HEART T-LIGHT HOLDER","United Kingdom",58,1014,2665.6999999999994
"HAND WARMER UNION JACK","United Kingdom",58,634,1232.4000000000008
"HAND WARMER SCOTTY DOG DESIGN","United Kingdom",53,713,1449.3000000000006
"HAND WARMER OWL DESIGN","United Kingdom",48,575,1159.4999999999998
"PAPER CHAIN KIT 50'S CHRISTMAS ","United Kingdom",44,514,1388.3000000000006
"RED WOOLLY HOTTIE WHITE HEART.","United Kingdom",42,726,2275.139999999999
"PAPER CHAIN KIT VINTAGE CHRISTMAS","United Kingdom",41,485,1302.7500000000007
"HAND WARMER RED RETROSPOT","United Kingdom",41,539,1083.9000000000003
"HAND WARMER BIRD DESIGN","United Kingdom",38,567,1142.7000000000005
"KNITTED UNION FLAG HOT WATER BOTTLE","United Kingdom",36,224,774.4799999999999
"REGENCY CAKESTAND 3 TIER","United Kingdom",35,452,5057.399999999999
"HEART OF WICKER SMALL","United Kingdom",33,302,482.3
"ASSORTED COLOUR BIRD ORNAMENT","United Kingdom",32,888,1423.9199999999996
"SET 7 BABUSHKA NESTING BOXES","United Kingdom",31,251,1955.0000000000002
"WHITE SKULL HOT WATER BOTTLE ","United Kingdom",31,168,604.08
"JAM MAKING SET PRINTED","United Kingdom",30,338,490.09999999999974
"HEART OF WICKER LARGE","United Kingdom",30,184,510.79999999999995
"SCOTTIE DOG HOT WATER BOTTLE","United Kingdom",29,178,881.1000000000001
"HOT WATER BOTTLE TEA AND SYMPATHY","United Kingdom",28,155,588.2500000000001
"RETROSPOT HEART HOT WATER BOTTLE","United Kingdom",28,119,572.25
"WOODEN FRAME ANTIQUE WHITE ","United Kingdom",27,159,430.65
"HOT WATER BOTTLE BABUSHKA ","United Kingdom",27,205,924.45
"CREAM CUPID HEARTS COAT HANGER","United Kingdom",26,159,462.75
"CHOCOLATE HOT WATER BOTTLE","United Kingdom",26,170,791.1000000000003
"JUMBO BAG RED RETROSPOT","United Kingdom",25,749,1280.55
"REX CASH+CARRY JUMBO SHOPPER","United Kingdom",24,41,38.95
